,Season,Episode,Title,Date Aired,Contestants,Voted Off
83,15,12,Week 10,7/29/19,"['Jed Wyatt ' 'Tyler Cameron' 'Peter Weber' 'Luke Parker' 'Garrett Powell'
 'Mike Johnson' 'Connor Saeli' 'Dustin Kendrick' 'Dylan Barbour'
 'Devin Harris' 'Grant Eckel' 'Kevin Fortenberry' 'John Paul Jones'
 'Matteo Valles' 'Luke Stone' 'Cameron ""Cam"" Ayala' 'Joey Jones'
 'Jonathan Saunders' 'Tyler Gwozdz†' 'Connor Jenkins' 'Daron Blaylock'
 'Matthew Spraggins' 'Brian Bowles' 'Chasen Coscia' 'Hunter Jones'
 'Joe Barsano' 'Matt Donald' 'Ryan Spirko' 'Thomas Staton'
 'Scott Andersen']",
85,16,1,Week 1,10/13/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
86,16,2,Week 2,10/20/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
87,16,3,Week 3,10/27/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
88,16,4,Week 4,11/5/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
89,16,5,Week 5,11/10/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
90,16,6,Week 6,11/17/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
91,16,7,Week 7,11/24/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
92,16,8,Week 8,12/1/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
93,16,9,Week 9,12/8/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
94,16,10,Week 10,12/14/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
95,16,11,Week 11,12/15/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
96,16,12,Week 12,12/21/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
97,16,13,Week 13,12/22/20,"['Dale Moss' 'Zac Clark' 'Ben Smith' 'Ivan Hall' 'Brendan Morais'
 'Bennett Jordan' 'Noah Erb' 'Riley Christian' 'Blake Moynes'
 'Demar Jackson' 'Ed Waisbrot' 'Spencer Robertson'
 'Uzoma ""Eazy"" Nwachukwu' 'Chasen Nick' 'Joe Park' 'Jordan Chapman'
 'Kenny Braasch' 'Jay Smith' 'Montel Hill' 'Peter Giannikopoulos'
 'Jason Foster' 'Zach Jackson' 'Blake Monar' 'Garin Flowers' 'Tyler Smith'
 'Yosef Aborady' 'Brandon Goss' 'AJ Yalawan' 'Chris Conran'
 'Jeremy Higgins' 'Jordan Manier' 'Mike Tobin' 'Page Pressley'
 'Robby Stahl' 'Tyler Cottrill' 'Week 1']",
98,17,1,Week 1,6/7/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
99,17,2,Week 2,6/14/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
100,17,3,Week 3,6/21/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
101,17,4,Week 4,6/28/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
102,17,5,Week 5,7/5/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
103,17,6,Week 6,7/12/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
104,17,7,Week 7,7/19/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
105,17,8,Week 8,7/26/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
106,17,9,Week 9,8/2/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
107,17,10,Week 10,8/9/21,"['Blake Moynes' 'Justin Glaze' 'Greg Grippo' 'Michael Allio'
 'Andrew Spencer' 'Mike Planeta' 'Brendan Scanzano' 'Aaron Clancy'
 'Hunter Montgomery' 'James Bonsall' 'Tré Cooper' 'Connor Brennan'
 'Andrew Milcovich' 'Josh Tylerbest' 'Quartney Mixon' 'Christian Smith'
 'Conor Costello' 'David Scott' 'Thomas Jacobs' 'Garrett Schwartz'
 'John Hersey' 'Karl Smith' 'Kyle Howard' 'Cody Menk' 'Austin Tinsley'
 'Brandon Torres' 'Gabriel Everett' 'Jeff Caravello' 'Landon Goesling'
 'Marcus Lathan' 'Marty Hargrove' 'Week 1']",
108,18,1,Week 1,10/19/21,"['Brandon Jones' 'Joe Coleman' 'Nayte Olukoya' 'Rodney Matthews'
 'Olumide ""Olu"" Onajide' 'Rick Leach' 'Martin Gelbspan' 'Clayton Echard'
 'Casey Woods' 'Leroy Arthur' 'Chris Sutton' 'Chris Gallant'
 'Romeo Alexander' 'Will Urena' 'Lowell ""LT"" Murray IV' 'Mollique Johnson'
 'Peter Izzo' 'Spencer Williams' 'Jamie Skaar' 'Alec Thompson'
 'Daniel Tully' 'Pardeep Singh' 'PJ Henderson' 'Brandon Kieffer'
 'Bryan Witzmann' 'Edward Naranjo' 'Garrett Aida' 'Jack Russell'
 'JoMarri Gable' 'Ryan Fox']",
109,18,2,Week 2,10/26/21,"['Brandon Jones' 'Joe Coleman' 'Nayte Olukoya' 'Rodney Matthews'
 'Olumide ""Olu"" Onajide' 'Rick Leach' 'Martin Gelbspan' 'Clayton Echard'
 'Casey Woods' 'Leroy Arthur' 'Chris Sutton' 'Chris Gallant'
 'Romeo Alexander' 'Will Urena' 'Lowell ""LT"" Murray IV' 'Mollique Johnson'
 'Peter Izzo' 'Spencer Williams' 'Jamie Skaar' 'Alec Thompson'
 'Daniel Tully' 'Pardeep Singh' 'PJ Henderson' 'Brandon Kieffer'
 'Bryan Witzmann' 'Edward Naranjo' 'Garrett Aida' 'Jack Russell'
 'JoMarri Gable' 'Ryan Fox']",
110,18,3,Week 3,11/2/21,"['Brandon Jones' 'Joe Coleman' 'Nayte Olukoya' 'Rodney Matthews'
 'Olumide ""Olu"" Onajide' 'Rick Leach' 'Martin Gelbspan' 'Clayton Echard'
 'Casey Woods' 'Leroy Arthur' 'Chris Sutton' 'Chris Gallant'
 'Romeo Alexander' 'Will Urena' 'Lowell ""LT"" Murray IV' 'Mollique Johnson'
 'Peter Izzo' 'Spencer Williams' 'Jamie Skaar' 'Alec Thompson'
 'Daniel Tully' 'Pardeep Singh' 'PJ Henderson' 'Brandon Kieffer'
 'Bryan Witzmann' 'Edward Naranjo' 'Garrett Aida' 'Jack Russell'
 'JoMarri Gable' 'Ryan Fox']",
111,18,4,Week 4,11/9/21,"['Brandon Jones' 'Joe Coleman' 'Nayte Olukoya' 'Rodney Matthews'
 'Olumide ""Olu"" Onajide' 'Rick Leach' 'Martin Gelbspan' 'Clayton Echard'
 'Casey Woods' 'Leroy Arthur' 'Chris Sutton' 'Chris Gallant'
 'Romeo Alexander' 'Will Urena' 'Lowell ""LT"" Murray IV' 'Mollique Johnson'
 'Peter Izzo' 'Spencer Williams' 'Jamie Skaar' 'Alec Thompson'
 'Daniel Tully' 'Pardeep Singh' 'PJ Henderson' 'Brandon Kieffer'
 'Bryan Witzmann' 'Edward Naranjo' 'Garrett Aida' 'Jack Russell'
 'JoMarri Gable' 'Ryan Fox']",
112,18,5,Week 5,11/16/21,"['Brandon Jones' 'Joe Coleman' 'Nayte Olukoya' 'Rodney Matthews'
 'Olumide ""Olu"" Onajide' 'Rick Leach' 'Martin Gelbspan' 'Clayton Echard'
 'Casey Woods' 'Leroy Arthur' 'Chris Sutton' 'Chris Gallant'
 'Romeo Alexander' 'Will Urena' 'Lowell ""LT"" Murray IV' 'Mollique Johnson'
 'Peter Izzo' 'Spencer Williams' 'Jamie Skaar' 'Alec Thompson'
 'Daniel Tully' 'Pardeep Singh' 'PJ Henderson' 'Brandon Kieffer'
 'Bryan Witzmann' 'Edward Naranjo' 'Garrett Aida' 'Jack Russell'
 'JoMarri Gable' 'Ryan Fox']",
113,18,6,Week 6,11/23/21,"['Brandon Jones' 'Joe Coleman' 'Nayte Olukoya' 'Rodney Matthews'
 'Olumide ""Olu"" Onajide' 'Rick Leach' 'Martin Gelbspan' 'Clayton Echard'
 'Casey Woods' 'Leroy Arthur' 'Chris Sutton' 'Chris Gallant'
 'Romeo Alexander' 'Will Urena' 'Lowell ""LT"" Murray IV' 'Mollique Johnson'
 'Peter Izzo' 'Spencer Williams' 'Jamie Skaar' 'Alec Thompson'
 'Daniel Tully' 'Pardeep Singh' 'PJ Henderson' 'Brandon Kieffer'
 'Bryan Witzmann' 'Edward Naranjo' 'Garrett Aida' 'Jack Russell'
 'JoMarri Gable' 'Ryan Fox']",
114,18,7,Week 7,11/30/21,"['Brandon Jones' 'Joe Coleman' 'Nayte Olukoya' 'Rodney Matthews'
 'Olumide ""Olu"" Onajide' 'Rick Leach' 'Martin Gelbspan' 'Clayton Echard'
 'Casey Woods' 'Leroy Arthur' 'Chris Sutton' 'Chris Gallant'
 'Romeo Alexander' 'Will Urena' 'Lowell ""LT"" Murray IV' 'Mollique Johnson'
 'Peter Izzo' 'Spencer Williams' 'Jamie Skaar' 'Alec Thompson'
 'Daniel Tully' 'Pardeep Singh' 'PJ Henderson' 'Brandon Kieffer'
 'Bryan Witzmann' 'Edward Naranjo' 'Garrett Aida' 'Jack Russell'
 'JoMarri Gable' 'Ryan Fox']",
116,18,9,Week 8,12/14/21,"['Brandon Jones' 'Joe Coleman' 'Nayte Olukoya' 'Rodney Matthews'
 'Olumide ""Olu"" Onajide' 'Rick Leach' 'Martin Gelbspan' 'Clayton Echard'
 'Casey Woods' 'Leroy Arthur' 'Chris Sutton' 'Chris Gallant'
 'Romeo Alexander' 'Will Urena' 'Lowell ""LT"" Murray IV' 'Mollique Johnson'
 'Peter Izzo' 'Spencer Williams' 'Jamie Skaar' 'Alec Thompson'
 'Daniel Tully' 'Pardeep Singh' 'PJ Henderson' 'Brandon Kieffer'
 'Bryan Witzmann' 'Edward Naranjo' 'Garrett Aida' 'Jack Russell'
 'JoMarri Gable' 'Ryan Fox']",