,Season,Episode,Title,Date Aired,Contestants,Voted Off
0,9,1,Week 1,5/27/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']","['Diogo Custodio', 'Larry Burchett', 'Micah Heisler', 'Mike R.', 'Nick Roy', 'Jonathan Vollinger']"
1,9,2,Week 2,6/3/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']","['Nick Mucci', 'Robert Graham', 'Will Reese']"
2,9,3,Week 3,6/10/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']","['Brandon Andreen', 'Dan Cox', 'Brian Jarosinski']"
3,9,4,Week 4,6/17/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']","['Zack Kalter', 'Brad McKinzie']"
4,9,5,Week 5,6/24/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']","['Mikey Tenerelli', 'Ben Scott', 'Bryden Vukasin']"
5,9,6,Week 6,7/1/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']","['James Case', 'Juan Pablo Galavis', 'Kasey Stewart']"
6,9,7,Week 7,7/8/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",['Michael Garofola']
7,9,8,Week 8,7/15/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",['Zak Waddell']
8,9,10,Week 9,7/29/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",['Brooks Forester']
9,9,11,Week 10,8/5/13,"['Chris Siegfried' 'Drew Kenney' 'Brooks Forester' 'Zak Waddell'
 'Michael Garofola' 'James Case' 'Juan Pablo Galavis' 'Kasey Stewart'
 'Mikey Tenerelli' 'Ben Scott' 'Bryden Vukasin' 'Zack Kalter'
 'Brad McKinzie' 'Brandon Andreen' 'Dan Cox' 'Brian Jarosinski'
 'Nick Mucci' 'Robert Graham' 'Will Reese' 'Diogo Custodio'
 'Larry Burchett' 'Micah Heisler' 'Mike R.' 'Nick Roy'
 'Jonathan Vollinger']",[]
10,10,1,Week 1,5/19/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']","['Emil Schaffroth', 'Jason Leep', 'Josh Bauer', 'Mike Campanelli', 'Rudie Dane', 'Steven Woolworth']"
11,10,2,Week 2,5/26/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']","['Carl King', 'Craig Muhlbauer', 'Nick Sutter']"
12,10,3,Week 3,6/1/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']","['Bradley Wisk', 'Brett Melnick', 'Ron Worrell']"
13,10,4,Week 4,6/2/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']","['Tasos Hernandez', 'Eric Hill']"
14,10,6,Week 5,6/16/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']","['Andrew Poole', 'Marquel Martin', 'Patrick Jagodzinski']"
15,10,7,Week 6,6/23/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']","['Joseph John ""J.J."" O\'Brien', 'Cody Sattler']"
16,10,8,Week 7,6/30/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']","['Brian Osborne', 'Dylan Petitt']"
17,10,9,Week 8,7/7/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']",['Marcus Grodd']
18,10,10,Week 9,7/14/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']",['Chris Soules']
19,10,12,Week 10,7/28/14,"['Josh Murray' 'Nick Viall' 'Chris Soules' 'Marcus Grodd' 'Brian Osborne'
 'Dylan Petitt' 'Joseph John ""J.J."" O\'Brien' 'Cody Sattler'
 'Andrew Poole' 'Marquel Martin' 'Patrick Jagodzinski' 'Tasos Hernandez'
 'Eric Hill' 'Bradley Wisk' 'Brett Melnick' 'Ron Worrell' 'Carl King'
 'Craig Muhlbauer' 'Nick Sutter' 'Emil Schaffroth' 'Jason Leep'
 'Josh Bauer' 'Mike Campanelli' 'Rudie Dane' 'Steven Woolworth']",[]
20,11,2,Week 1,5/19/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']","['Bradley Cox', 'David', 'Josh Seiter', 'Shawn Evans', 'Brady Toops', 'Ryan McDill']"
21,11,3,Week 2,5/25/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']","['Cory Shivar', 'Daniel Finney', 'Kupah James']"
22,11,4,Week 3,6/1/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']","['Clint Arlis', 'Tony Harris']"
23,11,5,Week 4,6/8/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']","['Corey Stansell', 'Jonathan Holloway', 'Ryan Beckett']"
24,11,6,Week 5,6/15/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']","['Joshua Albers', 'Justin Reich', 'Ian Thomson']"
25,11,7,Week 6,6/22/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']","['Ben Zorn', 'Tanner Tolbert', 'John ""J.J."" Lane III']"
26,11,8,Week 7,6/29/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']","['Jared Haibon', 'Joe Bailey', 'Chris Strandburg']"
27,11,9,Week 8,7/6/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']",['Ben Higgins']
28,11,10,Week 9,7/13/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']",[]
29,11,12,Week 10,7/27/15,"['Shawn Booth' 'Nick Viall' 'Ben Higgins' 'Jared Haibon' 'Joe Bailey'
 'Chris Strandburg' 'Ben Zorn' 'Tanner Tolbert' 'John ""J.J."" Lane III'
 'Joshua Albers' 'Justin Reich' 'Ian Thomson' 'Corey Stansell'
 'Jonathan Holloway' 'Ryan Beckett' 'Clint Arlis' 'Tony Harris'
 'Cory Shivar' 'Daniel Finney' 'Kupah James' 'Bradley Cox' 'David'
 'Josh Seiter' 'Shawn Evans' 'Brady Toops' 'Ryan McDill']",[]
30,12,1,Week 1,5/23/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']","['Colin ""Coley"" Knust', 'Jake Patton', 'Jonathan Hamilton', 'Nicholas ""Nick"" Sharp', 'Peter Medina', 'Salvatore ""Sal"" DeJulio']"
31,12,2,Week 2,5/30/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']","['Brandon Howell', 'James Spadafore', 'William ""Will"" Haduch']"
32,12,4,Week 3,6/7/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']","['Ali Zahiri', 'Christian Bishop', 'Nicholas ""Nick"" Benvenutti']"
33,12,5,Week 4,6/20/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']","['Daniel Maguire', 'James Fuertes', 'Brian ""Chad"" Johnson']"
34,12,6,Week 5,6/27/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']","['Evan Bass', 'Grant Kemp', 'Vincent ""Vinny"" Ventiera']"
35,12,7,Week 6,7/11/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']","['Derek Peth', 'Wells Adams']"
36,12,8,Week 7,7/18/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']","['James Taylor', 'Alexander ""Alex"" Woytkiw']"
37,12,9,Week 8,7/25/16,"['Jordan Rodgers' 'Robert ""Robby"" Hayes' 'Chase McNary' 'Luke Pell'
 'James Taylor' 'Alexander ""Alex"" Woytkiw' 'Derek Peth' 'Wells Adams'
 'Evan Bass' 'Grant Kemp' 'Vincent ""Vinny"" Ventiera' 'Daniel Maguire'
 'James Fuertes' 'Brian ""Chad"" Johnson' 'Ali Zahiri' 'Christian Bishop'
 'Nicholas ""Nick"" Benvenutti' 'Brandon Howell' 'James Spadafore'
 'William ""Will"" Haduch' 'Colin ""Coley"" Knust' 'Jake Patton'
 'Jonathan Hamilton' 'Nicholas ""Nick"" Sharp' 'Peter Medina'
 'Salvatore ""Sal"" DeJulio']",['Luke Pell']
